"endTime","artistName","trackName","msPlayed"
"2022-06-26 00:56","Casey Edwards","Bury the Light",539395
"2022-06-28 00:00","Alestorm","Drink",2367
"2022-06-28 18:15","SEGA SOUND TEAM","Super Sonic Racing",242021
"2022-06-28 18:19","RichaadEB","Night of Nights",199375
"2022-06-28 18:36","Tyson Yen","The Only Thing I Know For Real - Maniac Agenda Mix",103509
"2022-06-29 03:02","Foster The People","Pumped Up Kicks",239600
"2022-06-29 03:03","Ween","Ocean Man",4535
"2022-06-29 03:03","MGMT","Kids",1437
"2022-06-29 03:03","Twenty One Pilots","Stressed Out",3786
"2022-06-29 03:03","Eagles Of Death Metal","Miss Alissa",1722
"2022-06-29 03:04","Caesars","Jerk It Out",10223
"2022-06-29 03:04","Gotye","Somebody That I Used To Know",2313
"2022-06-29 03:04","MGMT","Little Dark Age",5539
"2022-06-29 03:04","Smash Mouth","All Star",712
"2022-06-29 03:04","Smash Mouth","All Star",2880
"2022-06-29 03:04","Saint Motel","My Type",2298
"2022-06-29 03:04","Foster The People","Houdini",2709
"2022-06-29 03:04","Eagles Of Death Metal","Miss Alissa",7488
"2022-06-29 03:04","fun.","Some Nights",1229
"2022-06-29 03:09","MGMT","Little Dark Age",299960
"2022-06-29 03:10","Capital Cities","Safe And Sound",24
"2022-06-29 03:10","Gotye","Somebody That I Used To Know",54436
"2022-06-29 03:10","fun.","We Are Young (feat. Janelle Monáe)",2256
"2022-06-29 03:10","Foster The People","Lotus Eater",7421
"2022-06-29 03:11","Tipling Rock","Staring",1712
"2022-06-29 03:11","Twenty One Pilots","Ride",2459
"2022-06-29 03:11","The Griswolds","16 Years",1650
"2022-06-29 03:11","Saint Motel","Sweet Talk",1858
"2022-06-29 03:14","Daft Punk","Harder, Better, Faster, Stronger",224745
"2022-06-29 03:15","The Clash","Should I Stay or Should I Go - Remastered",2040
"2022-06-29 03:15","Miike Snow","Paddling Out",1820
"2022-06-29 03:15","Saint Motel","Move",1511
"2022-06-29 03:15","Kaiser Chiefs","Ruby",2125
"2022-06-29 03:15","Foster The People","Don't Stop (Color on the Walls)",1784
"2022-06-29 03:15","Last Dinosaurs","Zoom",2179
"2022-06-29 03:15","Electric Light Orchestra","Mr. Blue Sky - 2012 Version",1770
"2022-06-29 03:15","Foster The People","Sit Next to Me",10262
"2022-06-29 03:18","OK Go","Here It Goes Again",2005
